fecha;identificador;ciudad;seccion;id_sec;titulo
2011-04-26;10914;Antofagasta;Sociedad;11;El drama que vive la familia de un pequeño de seis años que está en coma
2011-04-26;10879;Antofagasta;Policial;11;El Colegio North College de Antofagasta sufrió un robo de cuatro notebooks
2011-04-26;10874;Antofagasta;Deportes;11;"El volante del CDA Eric Pino: ""Concepción es un equipo muy difícil"""
2011-04-26;10861;Antofagasta;Deportes;11;El CDA ya se prepara para enfrentar a Deportes Concepción
2011-04-26;10851;Antofagasta;Sociedad;11;Los adultos mayores de Mejillones conocieron los beneficios de las reformas sociales
2011-04-26;10846;Antofagasta;Sociedad;11;Un estadounidense ganó más de 30 millones en el póker de Enjoy Antofagasta
2011-04-26;10826;Antofagasta;Sociedad;11;La municipalidad de Antofagasta retira 60 sacos de basura al día en el Paseo del Mar
2011-04-26;10820;Antofagasta;Policial;11;El intendente de Antofagasta apoya el centro de análisis del delito para su región
2011-04-26;10810;Antofagasta;Espectáculos;11;Una promisoria banda de cuecas y cumbias actuará este viernes en Antofagasta
2011-04-26;10806;Antofagasta;Espectáculos;11;El cantante Camilo Sesto se presentará el próximo 9 de junio en Antofagasta
2011-04-26;10789;Antofagasta;Deportes;11;Los Pumas y los Leones se medirán en duelo de fieras en el Regional
2011-04-26;10779;Antofagasta;Policial;11;El Gobierno Regional instalará unos pórticos para detectar a los camiones en peligrosa vía
2011-04-25;10746;Antofagasta;Cultura;11;La escritora de los pescadores de Antofagasta tendrá un encuentro con los escolares
2011-04-25;10664;Antofagasta;Sociedad;11;80 internos de la cárcel de Antofagasta iniciarán mañana una huelga de hambre
2011-04-25;10662;Antofagasta;Deportes;11;"""Los Zorros"" entre el cielo y el infierno"
2011-04-25;10639;Antofagasta;Policial;11;Los Carabineros de Calama detuvieron a cuatro sujetos por intentar robar un vehículo
2011-04-25;10631;Antofagasta;Sociedad;11;El antofagastino que se dedica a cazar fantasmas
2011-04-25;10600;Antofagasta;Sociedad;11;Los cinco ministros que nunca han venido a la región de Antofagasta
2011-04-25;10590;Antofagasta;Sociedad;11;El Intendente de Antofagasta descarta irregularidades en arriendo de terrenos a Mall Plaza
2011-04-25;10589;Antofagasta;Sociedad;11;El diputado Pedro Araya presentó un proyecto para crear feriados regionales
2011-04-25;10588;Antofagasta;Sociedad;11;El diputado Rojas denuncia un atraso en el proyecto de las rutas concesionadas
2011-04-24;10549;Antofagasta;Espectáculos;11;La Corporación Cultural entregará 135 becas para la escuela de música y ballet
2011-04-24;10551;Antofagasta;Policial;11;El Cuerpo de Carabineros realizó 536 controles en los sectores centro y sur de Antofagasta
2011-04-24;10539;Antofagasta;Policial;11;Dos niños de Mejillones son las nuevas víctimas de mordeduras de perros callejeros
2011-04-24;10525;Antofagasta;Deportes;11;En una guerra de goles, CDA ganó de visita a Magallanes por 3 a 2
2011-04-24;10504;Antofagasta;Sociedad;11;Los vecinos instalan monolitos para evitar los estacionamientos en las veredas en Antofagasta
2011-04-24;10498;Antofagasta;Policial;11;Son 12 los detenidos en un operativo relámpago de la PDI en Mejillones
2011-04-24;10495;Antofagasta;Sociedad;11;Bolivia acudirá a tribunales internacionales por caso del Río Silala
2011-04-24;10469;Antofagasta;Sociedad;11;Falta de interés por Parque Los Pinares
2011-04-24;10459;Antofagasta;Sociedad;11;Otro joven ganó $50 millones en Casino Enjoy en Antofagasta
2011-04-23;10402;Antofagasta;Policial;11;Increíble: Un taxibús se hundió en medio de la calle en Antofagasta
2011-04-23;10396;Antofagasta;Sociedad;11;Iglesias y parroquias de Antofagasta realizarán solemnes vigilias esta noche
2011-04-23;10392;Antofagasta;Deportes;11;Club Deportes Antofagasta partió a Santiago para enfrentar a Magallanes
2011-04-23;10384;Antofagasta;Espectáculos;11;La Corporación Cultural de Antofagasta entregará 135 becas de estudios
2011-04-23;10382;Antofagasta;Sociedad;11;La escuela 21 de Mayo  de Calama realizó significativo Vía Crucis Infantil
2011-04-23;10376;Antofagasta;Sociedad;11;El  seremi del trabajo, Pablo García, llamó a trabajadores a integrar escuela sindical en la Región de Antofagasta
2011-04-23;10373;Antofagasta;Sociedad;11;Los trabajadores en huelga de Compass Catering realizarán jornada cultural en Antofagasta
2011-04-23;10363;Antofagasta;Espectáculos;11;El grupo Quilapayún se presentará en Antofagasta durante el Día Internacional del Trabajo
2011-04-23;10355;Antofagasta;Cultura;11;El Colectivo Cultural Víctor Jara  de Antofagasta comenzó periodo de inscripción
2011-04-23;10344;Antofagasta;Sociedad;11;Deteriorado Muelle Histórico está sin fecha de remodelación
2011-04-23;10342;Antofagasta;Espectáculos;11;El cantante Vicentico visitará Antofagasta en junio
2011-04-23;10323;Antofagasta;Sociedad;11;Los diputados de la región exigen rebajas por cortes de agua para todos los antofagastinos
