id_new,ciudad,seccion,fecha,titulo,vistas,likes,shares,comentarios,denuncia,genero_autor
506076,Chillán,Política,2017-12-17,Lorena Vera: “La creación de la Región de Ñuble tiene que ver con una política pública que trasciende un gobierno”,18788,6001,1029,926,si,femenino
302123,Calama,Sociedad,2015-01-30,Meteorología pronostica probables precipitaciones en Calama,7631,6032,1580,1476,no,femenino
293240,Osorno,Economía y Negocios,2014-12-13,Feria Zoco Expo Navidad se desarrollará este fin de semana,19061,14930,2260,540,no,masculino
142018,Temuco,Sociedad,2012-12-18,El Viejito Pascuero visitó a los niños de los sectores rurales de Lautaro,2650,9968,215,737,no,femenino
624197,Chiloé,Sociedad,2019-11-09,Magisterio convoca a dos días de paro nacional,17041,14412,1744,1878,no,masculino
69275,Santiago,Deportes,2012-02-02,"Pepe Rojas: ""Prieto estaba más preocupado de las cosas que caían que del juego""",7863,10602,2751,1872,si,masculino
249791,Arica,Sociedad,2014-05-17,Un sismo de 5.4° Richter se percibió esta madrugada en Arica,5235,3418,3120,1768,no,masculino
569288,Santiago,Economía y Negocios,2018-11-28,"Gobierno y sector público acordaron un reajuste salarial de 3,5%",8220,8757,2583,1840,si,femenino
117789,Arica,Sociedad,2012-09-07,Los alumnos del Liceo Politécnico de Arica iniciaron movilizaciones demandando mejores talleres,11210,7508,1894,1987,no,masculino
198078,Temuco,Sociedad,2013-09-04,Accionistas minoritarios se tomaron el Country Club de Temuco,8640,3102,1867,211,si,femenino
623631,Valdivia,Sociedad,2019-11-06,Centro de Estudiantes de Derecho UACh realizó actividades con la comunidad valdiviana,3708,4932,2497,296,no,femenino
112598,Quillota,Sociedad,2012-08-16,Seremis realizaron taller sobre “Plan de Adaptación al Cambio Climáticopara el Sector Silvoagropecuario” en La Cruz,18028,713,200,987,si,femenino
358905,Valparaíso,Política,2015-11-18,La Cámara de Diputados aprobó la partida de Salud del presupuesto,163,7980,2533,799,si,masculino
387070,Osorno,Cultura,2016-04-14,Campeonato nacional de break dance arriba al Centro Cultural de Osorno,8692,10880,445,984,si,masculino
699053,Santiago,Sociedad,2021-03-23,Reportan que durante el 2021 se han registrado más fiestas clandestinas que en el año pasado,5242,977,311,1802,si,femenino
707591,Valdivia,Sociedad,2021-05-26,Los Ríos: Onemi realizó simulacro de emergencia ante terremoto y posibilidad de tsunami,6650,13528,1428,1957,si,masculino
